Place,Date,Designation,Review
"Jundiaí, SP",2018-08-26,Assistente Administrativo,Empresa com benefícios e oportunidades de plano de carreira para os funcionários.
"Jundiaí, SP",2018-08-23,Técnico de Processo Junior,"Empresa no ramo de manufatura com média salárial boa, porém sem plano de carreira"
"São Paulo, SP",2018-08-22,Op. de Máquina Manufatura,boa empresa prestativa em ajudar funcionarios na vida pessoal.salario bom ambiente fresco e limpo e muito organizada.
"Plainfield, IN",2018-08-22,Infrastructure Support Engineer,"There is always at least one fire to put out, or at least that is how each day feels.  It has been a great place to get experience in large shop IT Infrastructure.  You will have opportunities to work on many things, some of which would normally be outside of your dominion.There are really good people there, many of whom I would call friends.  The company has excellent benefits, and puts together many times where lunch is brought in for staff.The most difficult piece is trying to maintain a work/life balance.  The various IT teams are small, and the production floor can be a 20+ hour day which spills over into the weekend.  Short response times are necessary, so being on call means no leaving your house without your laptop.  For those with the desire to learn, it has many opportunities.  Things come up quickly, so your chance to get involved in something new feels like a daily theme, but in turn that adds to what feels like constant chaos.If you like a constant challenge, this could be a home for you."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2018-08-21,Operador de Produção,"É um ambiente agradável de se trabalhar; aprendi a inspecionar componentes, montagem mecânica e embalar placas no final do processo. Uma direção administrativa muito competente, enfim, uma ótima empresa"
"Jundiaí, SP",2018-08-21,Operador de qualidade,Foi possível aprender técnicas de qualidade ao longo de 5 anos de experiência.
"Fort Worth, TX",2018-08-21,Sr. Buyer,Work 18+ hours a day everyone spoke Chinese. One restroom with 4 stalls for 1000 people. Did not feel safe walking to my car after dark. Nice Chinese manager. Morning meetings for the Chinese only
"Plainfield, IN",2018-08-19,Production Associate,"It was a great experience, I had to work there for a month while getting my CDL license changed to the state of Indiana. Friendly co-workers, I miss y' all!"
"Plainfield, IN",2018-08-17,Warranty Technician,"I learned to troubleshoot diagnose and repair all small forms and Workstations that didnt make it throguh pre-testing. I helped out with assembly, when everything was running smoothly, learning where all the parts went. I also helped with Pre-testing the computers to make sure everything worked properly. Pre-testing the computers is what lead me to becoming a Warranty technician."
Pardubice,2018-08-14,Product & Process Engineer,"Super ""rozjížďák"" pro absolventy a pro ty, co si nekladou vyšší nároky a chtějí prostě ""jen"" někde pracovat."
"Tijuana, B.C.",2018-08-13,inspector de calidad,es un buen lugar para trabajar  aprender pero es muy poco el salario a comparacion de otros lugares y es dificil obtener acenso
"Jundiaí, SP",2018-08-13,Assistente Administrativo (Segurança Patrimonial),"Empresa agradável, com profissionais agradável e super competentes."
"Indianapolis, IN",2018-08-08,Warranty Trainee,"An Engineering intern/coop is a problem-solver, facilitator, change agent, innovator, and technical resource.  Responsible for performing these functions on issues as they are assigned (or arise) in the designated area."
"Houston, TX",2018-08-08,Software Program Manager,"full workload, plenty of workdevelop and expand Linux skillsmanagement unable to provide directiona lot of change and uncertainty of employmentsome of the employee were really great to work with"
"Jundiaí, SP",2018-08-08,Operador de Produção,Aprendi como são os componentes de uma placa de celular e a repara-los.
"Jundiaí, SP",2018-08-06,Operador de Produção 1,"a foxconn è uma empresa de otima qualidade profissional, ela oferece todo o suporte ao funcionario, a unica coisa que afeta a qualidadeè a instabilidade de efetivaçao"
"Jundiaí, SP",2018-08-04,Jovem Aprendiz,tive oportunidade de aprender muitas coisas relacionadas a produção
Bắc Ninh,2018-08-01,Nhân viên văn phòng,"cơ hội phát triển tương đối rộng, cấp trên thân thiện"
"Jundiaí, SP",2018-08-01,Operador de produção I,Local de trabalho tranquilo e de fácil aprendizado!
"Jundiaí, SP",2018-08-01,Operadora de Produção I,Á disposição da empresa.Venho por meio deste currículo solicitar uma oportunidade de emprego a fim de lhes demonstrar um bom trabalho.Desde já me colocar á disposição para entrevista e teste.Tenho habilidade em arrumação e organização de ambiente.Agradeço antecipadamente.
"Jundiaí, SP",2018-08-01,Auxiliar de Produção I,Referente as refeições ótima.gerenciasotimo. encarregado ótimo.salario ótimo. Os benefícios oferecidos ótimo. Convênios ótimo.etc..
"Fort Worth, TX",2018-07-30,Line Leader/Supervisor,Foxconn is a company were you can grow into the company has many different options. Loved the management  great benifits lots of training as you grow into the company great pay and great benifits.
"Indaiatuba, SP",2018-07-30,Auxiliar de produção,É uma ótima empresas gostava muito de trabalhar lar mais sair porque teve um corte de funcionários e eu tava no meio dos mesmos..
"Jundiaí, SP",2018-07-29,Operador de Produção,Trabalhar na Foxcoon aprendi como se trabalhar em equipe.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Manaus, AM",2018-07-25,Jovem aprendiz- logística,Foi muito bom estar e trabalhar nesta empresa bem dinâmica
"Houston, TX",2018-07-24,Assembly Worker/ Data Entry,Would recommend if you want to do the same thing every single day. Sometimes you won't have work at your line so you'll be sent to another line to do something else.
Baja California,2018-07-23,HR Intern,In this particular company I learned more than I could've imagined. They offered me an internship without any previous experience and I will always be grateful for that.
"Plainfield, IN",2018-07-23,Pc lead,I really love the job. Worked with my hands  and worked on pc I have learned a lot how to be a lead but the hours week was 56 hours . Had some health issues but doing great now.
"Jundiaí, SP",2018-07-19,Operador de Reparos,"Empresa com grandes oportunidades de crescimento, Vale a pena investir em uma formação para ter maiores oportunidades."
"Durham, NC",2018-07-17,Shipping Administrator / Material Handler,"Professional environment, with ability to learn and expand skills.Good team corporation, with minimal supervision, business information was provided to employees."
"Chihuahua, Chih.",2018-07-17,Practicante Lean Manufacturing,Excelente empresa bien estructurada.Apenas comenzaba con Lean Manufacturing
"Indianapolis, IN",2018-07-17,Warehouse material handler,"Nice workplaces for many opportunities, diffrent cultures , fasted pace , mandatory overtime , working on computers for hp . We take them apart and put them together"
"Jundiaí, SP",2018-07-16,Operador de Produção I,"Aprendi a trabalhar em equipe, conhecimentos na area de eletrônica."
"Tijuana, B.C.",2018-07-16,TECNICO DE APLICACIÓN SR,Empresa con oportunidad de crecimiento a nuevos ingresos.
"Tijuana, B.C.",2018-07-12,Application Sr. Engineering,"Empresa donde aprendi bastante y me dieron crecimiento . Durante los 20 años que labore el ambiente de trabajo fue agradable, Los servicos de cafeteria y transporte son muy buenos.Desafortunadamente en el area que esta trabajando el negocio estaba en malas condiciones financieras.La mayoria de la experiencia se obtiene en base a los problemas del dia a dia"
"Jundiaí, SP",2018-07-11,produção,"produtiva no trabalho,aprendi foca no serviço com qualidade,gerencia sempre ajudando no que era necessario,não conheci parte dificil,a parte agradavel era trabalhar sabendo q no final do plantão q tinha alcançado a meta."
Bắc Giang,2018-07-10,Production Control (PC),công ty co chế độ lương thưởng phù hợp với năng lực của từng nhân viên cũng như công nhân trong nhà máy.
"Ciudad Juárez, Chih.",2018-07-09,Ingeniero de Costos,Falta mas integracion entre los diferentes departamentos
"Jundiaí, SP",2018-07-09,Operador de Produção I,"Eu trabalhava das 15:00 até às 23:15 aprendi muita coisa, a direção e a gerência ótimos.Ambiente maravilhoso e a cultura também... não teve trabalho difícil. A parte mais agradável em todos os lugares e momentos."
"City of Sunrise, FL",2018-07-07,Director of Electrical Engineering,"Foxconn was a good place to work.  They had long hours and aggressive schedules, but you learned a lot.  Had a great team of engineerings (all disciplines) and miss working with them."
México,2018-07-06,Técnico de Reparación,"La empresa aparenta ser un buen ambiente de trabajo, pero detrás de ello hay muchas inconformidades"
"Tlaquepaque, Jal.",2018-07-05,tecnico de procesos,"Me agrada la empresa, pero en los ultimos dias ah bajado el nivel de produccion y se rumoran muchas cosas"
"Santa Teresa, Chih.",2018-07-04,tecnico de calidad,"He aprendido a manejar materiales caros, a manejar un area sola y utilizar programas que se usan en el area"
"Jundiaí, SP",2018-07-04,Operado I,"Produção de placas para celulares, processo de verificação e teste nas placas.Direção boa.Ambiente tranquilo.Não tinha parte difícil.Trabalho de Segunda a Sexta"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2018-07-03,Operador de testes de SMT e Assembly,Oportunidade de observar o processo de fabricação de uma placa eletrônica.
"Jundiaí, SP",2018-07-03,operador de empilhadeira em warehouse,"Empresa preza o lado social do empregado, preocupando-se com saúde mental principalmente, boas condições de trabalho, porém gerência corporativista."
"Jundiaí, SP",2018-06-29,"Operador de Manufatura CBO, Montador, Conferente","Um bom lugar para trabalhar, porem o contrato é predeterminado, com poucas chances de efetivação.Alguns setores são muito bons de trabalhar,outros muito corridos.Aprendi a fazer testes e instalar programas, também fazer alguns reparos.O melhor do ambiente de trabalho são as pessoas."
"Jundiaí, SP",2018-06-29,Operador de Produção,Aprendi muito na fox tive oportunidade de crescer com a empresa me interessei em fazer um curso de inglês e de qualidade
"Jundiaí, SP",2018-06-29,Assistente de Suporte Engenharia,"Boa empresa para se trabalhar, aprendi bastante coisa la"
"Jundiaí, SP",2018-06-26,Aprendiz/ Operador de produção,"Se preocupa com seus funcionarios, é pontual com suas obrigações, compreensiva."
"Jundiaí, SP",2018-06-25,Operadora de máquina automática S.M.T,"Foi uma ótima experiência trabalhar nessa empresa, processo seletivo objetivo e rápido. Tive oportunidades de crescimento. Aprendizagem  pessoal e profissional. Convivência com diversas pessoas, como deficientes auditivos."
"Ciudad Juárez, Chih.",2018-06-25,Técnico de Calidad,Buena empreasa para laborar tiene buenos amentos  salariales ademas de que cuenta con trasporte y cafetería. incentiva al apoyar con tiempo extra.
"Houston, TX",2018-06-24,Assembuler and programmer,its agreat company which helped me to learn how to prgramme ad install soft ware in to units and the people ad the company are entertaining but there salary is low but they appreciate there employee
"Jundiaí, SP",2018-06-19,Auxiliar de Produção I,Ótima empresa que trabalhei no segmento de peças do iPhone
"Jundiaí, SP",2018-06-17,Operador de Qualidade e Auditoria,Agradável de trabalhar com muitos benefícios. Empresa limpa e organizada.
"Jundiaí, SP",2018-06-14,produção,"O problema q é muito pessoal lá, a empresa é otima mas a liderança infelizmente deixa a desejar.So tem valor os queridinhos dos líderes ai os q não forem infelizmente na primeira oportunidade é rua"
太原市,2018-06-12,Logistics Manager,At foxocnn I start with a OP after 10years I become a manger with 30 people team. Foxconn gives me so many opptunities to lrean new things. I make the good working habits.
"Chihuahua, Chih.",2018-06-11,Ingeniero de Manufactura,"Tuve buenos compañeros en el equipo, buen jefe y buen ambiente de trabajo. Bastante presión en el trabajo. La comida era aceptable."
"Jundiaí, SP",2018-06-10,Operador de Produção I,"Aprendi muito nesta empresa ,um ambiente agradavel e tranquilo ,"
"Ciudad Juárez, Chih.",2018-06-09,Ing. Helpdesk,Buena empresa y buen ambiente laboral pero su ubicación no es muy favorable está muy lejos y los salarios no son los adecuados.
"Jundiaí, SP",2018-06-09,operador I,"excelente empresa,bom ambiente de trabalho,trabalho em equipe,sempre se preocupando  com a segurança dos colaboradores."
"Houston, TX",2018-06-07,Packer/Shipper,I just had like 3 days of training then not so much help so it was hard. They pay a little bit of money for a lot of hard work which is not fair at all.
"Ciudad Juárez, Chih.",2018-06-06,Técnico de prueba,Se caracteriza por tener muy buen trato con el personal Las promociones se dan a todos po igual
"Jundiaí, SP",2018-06-06,Operador de Produção I,BoaAgradávelBom horárioMultifuncionalOportunidadeSegurançaAtiva
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
Tamil Nadu,2018-06-06,HR Executive,"I worked long back there. It was always under pressure and no idea about current situation.But if i get an opportunity there again, i will keep that as a last option."
"Jundiaí, SP",2018-06-06,Auxiliar de Almoxarifado,Aprendi a armazenar separação de material inventário montagem de celular testes .
"Juarez, Mexico",2018-06-05,Procurement Buyer,I've learned so much at this work. It has been such a great opportunity it was a big challenge at first but that is why it was so great because it made me developed skills that at the begging of my career I didn't knew I posses.
Kutná Hora,2018-06-05,operátor,"Práce v čistém prostředí,málo ohodnocená,vzhledem k tomu,že jde o téměř nejlepšího zaměstnavatele v ČR,který se zabývá PC."
"Jundiaí, SP",2018-06-04,Operador de Produção,Empresa boa de se trabalhar com poucas chances de promoção .
"Ciudad Juárez, Chih.",2018-05-31,operador de produccion,La gente al menos en mi línea de trabajo era muy agradable
"Jundiaí, SP",2018-05-30,Aprendiz Logística,"Excelente empresa, ótimo salário, bons benefícios, ambiente de trabalho agradável."
Cd. Juarez Mexico,2018-05-30,Técnico de reparación,Una empresa que fue cambiando poco de bn a mal por sus nuevos dueños al principio muy buenas prestaciones luego las fueron quitando
"Jundiaí, SP",2018-05-29,Operador Produção I,"Ótima empresa, local agradável e dinâmico, nada a reclamar."
"Chihuahua, Chih.",2018-05-28,Gerente de Manufactura,"Una empresa que me brindo desarrollo personal, cultural y profesional, ambiente sano de respeto y confianza a todas las personas."
"Houston, TX",2018-05-26,Test Technician,"was routine work troubleshooting and repair servers , I learned how to troubleshoot and replaced the hardware at the servers and diagnostic the error cods."
"Tijuana, B.C.",2018-05-26,operador de produccion,yo labore en foxconn  me agrado la comida y sus como promociones de por ser estudiante
"Chennai, Tamil Nadu",2018-05-24,Machine Operator,Foxconn India ltd company  is one of the  best  electronic mobile phones accessories  company  Nokia and moto oppo mobile phones assembly the  best company in all facilities in  this  company
"Ciudad Juárez, Chih.",2018-05-22,Analista de embarques,Buena empresa para aprender pero con muy malos salarios
"Jundiaí, SP",2018-05-21,produçao,Ótimo ensinoBom trabalho em equipe E ser dedicado
"Indaiatuba, SP",2018-05-21,Operadora Multifuncional/ Líder,"Desenvolvi vários trabalhos, e pude aprender tudo dentro da empresa, desenvolvi o trabalho em grupo, liderança, parte mais agradável foi poder conhecer diversas pessoas e poder avaliar seus comportamentos e suas necessidades para poder ser um desenvolver o papel de um bom líder."
"Jundiaí, SP",2018-05-18,Operador Produção I,"Uma ótima empresa de se trabalhar, com todos os benefícios inclusos e um ótimo salário."
"Jundiaí, SP",2018-05-17,Operador de Produção,"Empresa muito boa para trabalhar, ambiente agradável, foi nessa empresa que tive minha primeira experiencia em produção."
"Houston, TX",2018-05-15,warehouse associate,"It was my first job experience, and it was not demanding. It was more of a learning experience for me. I learned how to assemble different parts of machines."
"Jundiaí, SP",2018-05-15,Analista de Processos,"Empresa de valores econômicos agradável, politica ambiental e sociocultural de nível reconhecido pela ISO.Parte mais difícil do trabalho era a distância até minha casa.Parte mais agradável, perto do centro da cidade e local para descanso"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Ciudad Juárez, Chih.",2018-05-14,Jefe de grupo de almacén,"dar continuidad a los pendientes realizando un plan de trabajo, aprendí a trabajar bajo presión, la gerencia era muy buena solo que las decisiones no dependían tanto de el, la parte mas difícil del trabajo era que no se tenían las herramientas necesarias para realizar el trabajo que se solicitaba y uno tenia que realizarlas por igual, lo que mas me gusto era el ambiente laboral muy tranquilo."
Bắc Giang,2018-05-10,quản lý sản xuất,có kí túc xá và xe đưa đón. trong quá trình làm việc có các khóa dạy tiếng trung miễn phí
"Sriperumbudur, Tamil Nadu",2018-05-10,molding area,1.The productivity is all auto machines .They checking every product finishing points. 2. Best employee motivations programs and safety  in the organisation.
"Ciudad Juárez, Chih.",2018-05-09,Jefe de grupo,"Muy buena empresa, hay supervisoores malos como en todos lados pero en si la empresa es muy buena!"
"Chihuahua, Chih.",2018-05-08,Operador de Producción,"Empresa con reglamentos y disciplina, con buen ambiente laboral"
"Campinas, SP",2018-05-06,Técnico de Qualidade Interna,"Responsável pelos processos de montagem e de auditoria interna liderando a equipe de inspeção de qualidade, responsável pela inspeção final para produção de placas SMD e inspeção de etapa montagem final de todos os produtos.Desenvolvimento e controle de todas aferições nos equipamentos e dos ambientes."
"Jundiaí, SP",2018-05-04,Operador de Produção I,"- Dinamismo, postura.- Ambiente agradável de trabalhar."
Pardubice,2018-05-03,Senior supervizor,"Řídící a organizátorská práce v mezinárodním kolektivu pracovníků, Reakce na rychlé změny ve výrobě."
"Jundiaí, SP",2018-05-02,Operador de Produção I,Os benefícios são bons.Mas os descontos são exorbitantes.
"Indaiatuba, SP",2018-05-02,Assistente Fiscal / Contábil,Uma empresa onde os colaboradores trabalham com dedicação e preparados
"Jundiaí, SP",2018-05-01,Operador de Produção,"ótima empresa, bons benefícios, salários, tudo em dia."
"Ciudad Juárez, Chih.",2018-04-26,operador de Materiales,es una buena empresa sin embargo la seguridad es muy baja
"Guadalajara, Jal.",2018-04-26,almacenista capturista,"Laborar aquí fue bueno,me dieron la oportunidad de aprender a manejar montacargas y traspaletas,asi como darme la experiencia en todo lo relacionado con logística y almacén."
"Jundiaí, SP",2018-04-25,Operadora de Produção I,"Uma empresa aonde me ensinou ser uma profissional com postura ,aonde os anos que trabalhei la foi muito util para minha vida."
"Jundiaí, SP",2018-04-24,Operador Produção 1,"O dia de trabalho é corrido e repetitivo, onde você aprende a manusear parafusadeiras e a operar máquinas. O ambiente de trabalho é agradável mas, é difícil a rotina de trabalho com movimentos repetitivos, mais a empresa paga bem."
"Harrisburg, PA",2018-04-19,Electronics Assembler,Had a to of fun learning new things there. Very friendly and fun people to work with. So sad it never made it off the ground. would have been wonderful.
"Manaus, AM",2018-04-18,Líder de Produção,"Empresa precisa melhorar em relação as informações que eram a nível hierárquico, pois todos os funcionários do chão de fábrica sabia das informações."
"Tijuana, B.C.",2018-04-18,operadora de produccion,"En Foxconn, utilizabamos herramientas como un desarmador.un torno,las maquinas paras escanear adecuadamente para obtener el resultado eficaz y productivo tanto para la empresa como para los empleados felejado en nuestro salario utilizando las 5´s"
"São Paulo, SP",2018-04-18,auxiliar de produção,"Trabalhava na parte de SMT, inspeção nas placas colocava fita kepton"
jundiai,2018-04-18,Operadora de Qualidade 1,Na FOXCONN foi onde eu aprendiz na area de qualidade á especionar um produto verificar seus defeito de dentro e fora do produto.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Ciudad Juárez, Chih.",2018-04-17,Test engineering technician,El trabajo como tecnico de prueba resulto bastante estatico y por lo tanto desgastante mentalmente.
"Plainfield, IN",2018-04-17,Infrastructure Engineer Supervisor,"not a very good team atmosphere, a lot of finger pointing, very poor management in the IT field, not a lot of control over your workday, several different cultures"
"Houston, TX",2018-04-16,Data Entry,"Typical day at work you keep busy most of the day and you have to stay busy and not stand and do nothing it wont be acceptable, also there is days that there is nothing to do but you still have to be busy"
"Jalisco, Mexico.",2018-04-16,Exports Analyst,"Excellent place to work. Challenging and a lot of opportunity to learn. Friendly workplace culture. Fast paced. Supervised the exports from the Mexico branch to different destinations worldwide. Fulfilled the monthly designated levels of production and delivered the material successfully, under tight schedules. Coordinated communications between warehouse, carriers and forwarding agents.  Generated the necessary export documentation."
"Jundiaí, SP",2018-04-12,APRENDIZ,"É uma empresa boa para trabalhar, conta com muitos benefícios mas não tem estabilidade. Há muitos cortes e desligamentos em massa."
AVENIDA CAMINHO DE GOIAS KM 67,2018-04-12,Almoxarife II,"Formado em logísticaAtividades de experiências: Recebimento de mercadorias, lançamento de notas fiscais e outros serviços em sistema incluindo o sistema integrado SAP. Tenho um bom desempenho na área de logística, organização de materiais, ordens de produção e estoques de produtos, matérias-primas e produtos acabados, entrada e saída de materiais para produção inventário de estoque."
"Jundiaí, SP",2018-04-09,Almoxarife II,Empresa trabalha na base de confiança em seu funcionário. Tentando sempre entender o lado profissional e pessoal. Ótima estabilidade e chances de crescimento.
"Tijuana, B.C.",2018-04-08,ensambladora,te dan mucha capasidad para cercer y entrenamiento en ello
"Jundiaí, SP",2018-04-07,Operador de Produção,"É uma boa empresa para trabalhar,  eu sempre gostei de trabalhar na produção, desde a primeira vez que eu trabalhei."
"San Jose, CA",2018-04-06,Server Testing/Debug/Repair,"Only ended up at FOXCONN thru company acquisition.They pride themselves on not laying off employees.That is because most qualified people will quit and move on to other companies.Whats left is unqualified ,mostly temp,workers. Any competent workers that are left get over loaded with responsibilities,and even with below average pay, no chance of raises or promotion.Most of the middle management is weak in that they don't speak up for the employees.Upper management runs everything like a dictatorship i.e yelling at middle management, banging on tables and wall during meetings and giving explanations for changes like ""because I said so"". How this place stays in business I don't know.I strongly recommend NOT seeking employment here or using the as a CM."
"Mumbai, Maharashtra",2018-04-06,Manager Sales,The management was not at all supportive on any decisions and salary benefits were not there. I would not advise anyone joining Foxconn specially in Electronics Department in India
"Tijuana, B.C.",2018-04-05,Surtidor de Línea,"Creo que la empresa necesita una mejor administración, en ciertas áreas no se podía trabajar debido a la suciedad y desorganización.Además; cuando hubo una ""visita especial"" el trato hacia el personal no fue el apropiado, nos escondieron y creo que uno debe estar orgulloso de sus trabajadores. Por último, los jefes de línea deben trabajar en su humildad y respeto."
inspector,2018-04-05,calidad,son buenas las instalaciones el trato de los encargados no es muy agradable pero todo lo demas si bueno RH son medio sangrones no tiene la forma correcta de hablar y de atender a los empleados.
"Jundiaí, SP",2018-04-05,Operador de Produção,Empresa dinâmica e regida quanto aos controles qualidade. ótimo lugar para adquirir disciplina.
Rua caminho de Goiás,2018-04-04,Operadora1,"Empresa com bastante desenvolvimento profissional,com gestores qualificados para lidar com seus funcionários..."
"Jundiaí, SP",2018-04-04,Operador de Produção I,trabalhar na foxconn era um sonho uma empresa ótima aprendi muitas coisas boas a direção era sempre presente em todas as atividades o ambiente de trabalho era ótimo a parte mais difícil e quando tem corte a parte mais agradável era todos os benefícios nunca atrasava o pagamentos sempre pontual
"Jundiaí, SP",2018-04-03,op de produção,"Muito boa de trabalhar , excelente promocionais ambiente maravilhoso"
"Jundiaí, SP",2018-04-02,Operador 1,Foxconn é uma empresa que disponibiliza muitas oportunidades de crescimento.
"Ciudad Juárez, Chih.",2018-03-31,Supervisor de área de embarques,"Un día normal de trabajo, es llegar a mi área y seguir con los pendientes del día del commit diario ya estando todo en orden cerrar los todos los embarques del día y posteriormente seguir los compromisos del día siguiente."
"São Paulo, SP",2018-03-31,operador produção 1,"Empresa dinâmica, responsável de todos direito de funcionários"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Houston, TX",2018-03-29,Receiving Clerk,"This was more of a slave warehouse, no benefits of anything, supervisors were strict to a certain extend, unable to have any good moral, the location closed down due to manager being caught stealing."
"Jundiaí, SP",2018-03-28,Jovens Aprendiz,"Uma ótima empresa , com ótimos funcionários , com boa pessoas para ensinar"
"Jundiaí, SP",2018-03-28,Operador de Produção I,"Um ambiente agradavel, com uma bela equipe de funcionários  e diretores  bem atenciosos, comunicativo e dinâmico."
"Jundiaí, SP",2018-03-26,Aprendiz Administrativo,"Ter trabalhado nessa empresa me proporcionou aprendizado suficiente para saber lidar com as pessoas em situações problemáticas, poise eu fazia a ponte de informações da produção e RH."
"Czech Republic, Kutna Hora",2018-03-22,Rack tech operator,"-There were a lot of operations needed to be done for final product-I have learned full procedure of making servers and putting them together in operative line-Workplace with excellent conditions(light, artifical air producing, pleasant hall temperature, a lot of space to manipulate with)-Hardest part of the job is standing in one position long time-Enjoyable part of the job is working with people from all around the world and different cultures"
"Plainfield, IN",2018-03-22,Quality Team Lead,Nice fast paced worked days. The employee were good people to work with making the days go by fast. The nemesis was hr and 4 main manager. They (HR) seemed and behaved like  hired mercenaries that simply look at us as actual expendable resources
"Jundiaí, SP",2018-03-21,Operador de Máquina,"-Disponibilizar material adequado para cada posto.-Conferir se a equipe esta posicionada no seu devido posto de trabalho.-Analisar e conferir tempo das máquinas para comparar se esta compatível com as metas exigidas.-Preparar linha para inicio de outra produção.Uma empresa muito boa para trabalhar,que da chance de aprendizado para o empregado,com um otimo ambiente de trabalho.A parte mais agradavel é de ter pessoas competentes trabalhando junto,e a mais dificil é que conforme a crise econômica do país,não estamos tendo oportunidade de crescimento dentro da empresa,e com isso,nao consigo expor meu  nível de aprendizado."
"Tijuana, B.C.",2018-03-21,Asistente,es una empresa con un buen ambiente laboral sin presiones y oportunidad de crecimiento te adatas muy bien y tienen buen trato de personal
"Jundiaí, SP",2018-03-20,Operador de Produção I,"Empresa Boa de ser trabalhar, da oportunidade das pessoas crescer na empresa."
